,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,18,2,2,3,2,1
1,18,5,1,2,3,1
2,19,5,2,2,1,1
3,19,3,3,2,1,2
4,20,5,0,0,2,2
5,20,4,2,1,1,1
6,20,4,2,3,3,1
7,18,4,2,1,2,3
8,20,2,2,0,2,1
9,20,4,2,2,1,5
10,18,2,3,2,1,1
11,19,5,2,0,0,1
12,17,6,2,2,3,1
13,18,1,2,2,1,4
14,17,6,2,0,1,1
15,18,1,1,2,1,5
16,20,2,0,0,2,10
17,20,3,3,2,2,1
18,20,6,0,2,2,1
19,18,1,0,0,1,2
20,18,6,0,0,1,2
21,19,1,3,2,1,2
22,19,4,0,0,3,1
23,20,4,3,2,2,1
24,20,5,4,2,1,1
25,19,2,3,2,2,1
26,20,3,2,2,1,4
27,19,3,2,3,1,1
28,21,0,2,0,3,1
29,17,5,1,1,1,1
30,19,5,0,2,1,1
31,17,5,2,4,2,1
32,18,1,0,2,1,1
33,18,5,0,0,2,2
34,20,5,2,2,2,2
35,18,5,2,4,2,1
36,20,2,2,2,3,2
37,19,4,2,3,3,1
38,18,5,2,0,0,1
39,18,2,2,1,3,2
40,19,5,2,4,2,1
41,20,3,3,2,3,1
42,19,3,2,0,2,1
43,18,4,2,2,2,1
44,17,5,2,1,2,1
45,20,2,2,1,2,3
46,20,3,2,1,2,3
47,20,4,2,2,3,2
48,17,5,1,2,1,3
49,18,1,1,1,3,1
50,18,3,2,1,3,2
51,19,2,3,2,0,1
52,19,2,0,2,1,1
53,19,3,1,2,1,4
54,20,4,1,2,1,2
55,18,0,1,2,1,1
56,19,3,1,2,3,1
57,20,2,2,2,1,7
58,18,4,2,3,1,1
59,20,1,3,2,0,1
60,20,1,2,2,1,4
61,19,2,1,2,3,1
62,19,4,2,0,0,1
63,20,4,1,2,2,1
64,19,1,2,2,2,1
65,18,1,0,0,2,6
66,18,5,2,1,2,2
67,18,5,2,0,3,1
68,21,0,2,2,3,1
69,18,0,0,0,1,6
70,18,0,2,0,3,1
71,19,5,2,2,2,1
72,18,4,0,0,2,1
73,19,1,2,3,3,1
74,20,3,3,2,0,1
75,19,4,2,4,2,1
76,20,3,2,2,0,2
77,19,1,2,4,2,1
78,19,2,2,2,3,1
79,19,5,2,3,1,1
80,20,4,2,2,2,3
81,18,1,3,2,2,1
82,18,3,2,2,2,1
83,18,6,0,2,2,1
84,17,5,2,3,2,1
85,18,2,0,0,1,7
86,20,1,2,0,2,2
87,18,6,2,2,1,2
88,19,5,2,3,3,2
89,18,3,2,1,1,1
90,18,4,1,2,1,3
91,18,3,2,3,2,2
92,19,0,2,0,0,1
93,19,2,2,2,1,5
94,18,4,2,0,1,1
95,18,4,2,1,1,1
96,19,0,2,0,3,1
