,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,30,4,0,0,1,14680
1,30,5,3,2,0,872
2,31,4,3,1,2,1622
3,31,6,0,0,2,15189
4,32,0,2,2,2,42574
5,32,0,4,3,2,13
6,32,2,0,1,1,135
7,32,2,2,1,1,1892
8,32,4,2,4,1,25
9,32,5,2,3,0,2084
10,32,5,0,0,3,17981
11,32,6,1,2,2,5965
12,33,2,0,1,2,92
13,33,3,3,1,1,1833
14,33,4,0,0,1,13163
15,33,5,0,4,2,1
16,33,6,4,2,2,47
17,34,1,1,4,0,56
18,34,1,2,1,3,6816
19,34,4,4,1,2,116
20,34,6,0,2,0,1888
21,30,4,4,1,1,106
22,30,4,0,3,2,261
23,30,5,3,2,2,1498
24,30,5,0,1,2,97
25,30,6,0,1,0,155
26,30,6,0,2,1,2888
27,31,1,1,0,2,82
28,31,3,2,0,0,1376
29,31,3,1,3,3,2632
30,31,4,3,4,0,4
31,32,1,4,1,0,41
32,32,3,1,0,3,138
33,32,6,0,1,3,303
34,33,0,0,1,2,229
35,33,3,3,4,1,9
36,33,6,3,1,3,4756
37,34,3,3,1,1,1790
38,30,6,0,3,0,267
39,31,0,0,3,1,371
40,31,0,1,2,3,5537
41,31,3,4,0,3,1
42,31,6,2,4,0,123
43,31,6,2,1,2,5470
44,32,0,0,1,0,167
45,32,0,1,1,1,18321
46,32,2,1,2,1,5642
47,32,2,3,4,3,10
48,32,3,0,2,0,889
49,32,3,0,3,2,287
50,32,5,1,3,2,2059
51,32,6,4,2,3,71
52,33,0,1,4,3,116
53,33,2,0,0,0,4049
54,33,2,2,1,3,8904
55,33,4,4,1,0,42
56,33,5,4,2,2,35
57,34,3,0,2,3,1968
58,34,4,3,1,3,2853
59,30,5,2,3,1,1159
60,31,3,2,3,0,1439
61,31,4,1,2,0,1434
62,31,4,1,3,2,1726
63,31,5,1,3,0,1427
64,31,6,4,3,0,5
65,32,0,1,3,0,3381
66,32,0,0,0,2,12246
67,32,3,3,4,2,3
68,32,5,4,4,2,2020
69,33,1,0,0,2,12984
70,33,4,1,3,0,997
71,33,6,1,1,0,24813
72,34,2,1,2,0,1180
73,34,3,1,2,3,3910
74,34,5,1,3,2,2435
75,34,5,3,2,3,2891
76,34,6,3,1,2,3001
77,30,4,3,4,3,6
78,31,1,0,2,0,752
79,31,5,4,0,3,1
80,31,6,0,0,3,17962
81,32,3,1,3,3,2382
82,33,1,4,4,1,1508
83,33,3,2,1,2,3524
84,34,4,1,3,3,2779
85,34,5,1,1,0,12662
86,30,4,3,1,0,794
87,30,5,4,0,3,2
88,31,0,2,3,3,2969
89,31,0,2,4,3,34
90,31,1,2,0,0,639
91,31,1,0,3,3,278
92,31,3,3,1,0,784
93,31,6,1,4,1,109
94,32,1,2,0,3,3326
95,32,2,3,1,3,1860
96,32,2,1,4,3,114
97,32,4,3,1,0,790
98,32,6,0,0,0,9174
99,33,0,3,1,2,2822
100,33,3,4,4,1,1624
101,33,3,0,2,1,2877
102,33,5,3,3,0,6760
103,33,5,0,2,2,2432
104,33,5,2,4,3,99
105,34,0,1,3,0,3663
106,34,4,0,0,1,13855
107,30,4,3,0,1,349
108,30,4,4,3,1,1
109,30,6,2,2,3,69401
110,31,4,4,1,0,37
111,31,4,2,2,1,45887
112,31,5,4,2,3,65
113,31,6,4,2,0,22
114,32,2,3,1,0,720
115,32,2,1,0,2,87
116,32,2,4,3,2,7
117,32,4,1,2,0,1497
118,32,5,4,0,2,3
119,32,6,2,3,3,3875
120,33,5,1,0,0,110
121,33,5,3,2,2,1529
122,33,6,0,2,3,4116
123,34,2,0,4,1,2
124,34,3,1,3,1,1964
125,34,6,2,4,2,59
126,30,4,0,0,0,4438
127,30,6,2,1,2,5846
128,31,1,0,1,2,90
129,31,5,0,2,2,2487
130,32,1,2,4,3,109
131,32,2,3,3,2,15332
132,32,2,1,3,2,1427
133,32,3,3,1,3,2077
134,32,5,2,4,3,111
135,32,6,3,4,2,26
136,33,3,3,3,1,16047
137,33,3,1,0,1,92
138,34,2,2,4,2,39
139,34,2,0,3,3,258
140,34,5,2,1,0,3859
141,34,5,3,2,1,2395
142,34,6,1,2,1,4148
143,30,6,2,0,1,2121
144,30,6,1,0,1,143
145,30,6,4,4,3,2157
146,31,1,0,3,2,256
147,31,4,3,0,2,259
148,32,0,1,2,3,4611
149,32,1,4,0,0,1
150,32,3,4,1,2,99
151,32,3,1,4,2,94
152,33,4,2,0,0,1414
153,33,4,0,2,1,3134
154,33,6,2,3,2,2286
155,34,6,2,3,0,3232
156,34,6,2,0,0,3565
157,31,1,1,0,0,53
158,31,1,4,3,0,2
159,31,1,0,0,2,11907
160,31,2,2,0,0,1199
161,31,2,3,2,0,680
162,31,3,4,1,0,39
163,31,3,4,3,3,8
164,32,0,0,3,1,288
165,32,2,2,1,3,9070
166,32,5,1,3,3,3603
167,32,6,4,1,3,237
168,33,1,1,2,2,2940
169,33,3,4,0,0,2
170,33,4,1,1,1,26726
171,33,6,3,4,1,13
172,34,1,3,4,3,7
173,34,3,3,1,0,835
174,34,4,0,0,2,13267
175,34,5,3,3,1,17728
176,34,6,1,3,0,3398
177,34,6,3,2,3,3777
178,30,5,4,2,1,55
179,30,6,0,2,2,3588
180,31,1,3,2,1,2432
181,31,6,3,0,1,294
