,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,13,3,1,1,2,31
1,7,0,0,2,1,1
2,15,6,1,3,3,1
3,17,1,3,0,1,1
4,14,0,1,1,1,11
5,14,1,1,2,2,4
6,16,2,3,0,2,8
7,16,5,1,3,2,3
8,16,5,1,0,3,1
9,17,2,1,0,2,1
10,15,4,2,1,2,1
11,15,6,3,1,2,1
12,16,3,2,3,2,1
13,16,5,3,3,1,3
14,17,3,2,2,0,1
15,17,4,3,1,2,4
16,14,0,3,0,2,2
17,14,6,0,1,3,1
18,14,6,2,3,3,2
19,15,3,2,2,1,71
20,16,2,3,0,1,1
21,17,1,1,3,3,3
22,17,2,1,2,2,6
23,13,5,0,3,2,2
24,14,2,3,2,1,2
25,15,6,1,2,1,3
26,16,1,3,0,2,6
27,16,3,3,2,3,3
28,17,3,1,1,2,38
29,13,4,0,2,1,2
30,13,6,3,3,0,1
31,14,2,2,0,3,3
32,15,4,2,2,3,64
33,15,5,3,3,1,7
34,15,5,2,2,2,68
35,16,0,3,3,0,2
36,16,0,3,2,2,2
37,17,2,1,2,3,2
38,13,4,3,3,3,13
39,14,2,0,2,3,2
40,15,2,3,1,3,2
41,16,6,0,0,0,1
42,17,4,3,2,1,2
43,13,3,2,2,0,11
44,13,4,1,1,0,1
45,13,4,2,3,2,2
46,14,5,0,1,1,2
47,15,2,3,2,2,2
48,15,5,1,3,2,1
49,17,2,3,3,0,3
50,17,4,3,2,3,2
51,14,0,0,2,2,1
52,16,0,3,0,1,1
53,14,0,2,0,1,5
54,14,4,3,2,1,6
55,14,4,2,2,3,55
56,16,3,3,2,1,2
57,16,4,2,0,1,4
58,17,4,3,2,2,5
59,13,4,0,3,1,5
60,13,6,1,0,0,1
61,14,2,0,2,1,3
62,16,0,1,2,2,1
63,16,4,0,0,0,1
64,17,1,3,1,2,5
65,13,4,2,1,1,1
66,13,6,2,0,2,6
67,14,2,0,1,3,1
68,14,5,2,2,0,6
69,15,1,3,3,0,1
70,15,1,0,2,2,1
71,15,4,3,1,3,1
72,15,5,3,2,3,3
73,16,0,2,2,1,34
74,16,6,1,2,3,2
75,17,0,1,3,2,2
76,17,3,0,2,2,1
77,14,3,1,2,2,3
78,14,5,1,3,3,1
79,15,0,3,0,1,1
80,16,2,2,0,0,3
81,13,6,0,3,1,1
82,14,2,1,3,1,2
