,week_of_year,day_of_week,PU_borough_code,DO_borough_code,part_of_day,count
0,43,5,2,2,0,20183
1,45,5,2,0,1,76
2,46,4,3,1,2,4
3,47,0,2,1,0,1800
4,47,4,3,1,2,5
5,47,6,1,3,2,3
6,44,2,2,0,0,42
7,44,4,2,1,3,3151
8,46,2,0,2,1,12
9,44,6,0,0,2,6
10,45,1,2,2,0,4094
11,45,5,2,0,2,45
12,46,2,2,0,2,47
13,46,4,2,0,1,77
14,46,5,1,2,3,113
15,47,4,3,2,1,58
16,47,5,1,2,0,13
17,44,6,1,2,1,103
18,45,2,3,3,3,51
19,46,1,3,3,1,109
20,46,2,3,0,1,2
21,46,4,1,1,0,87
22,46,4,3,2,0,24
23,47,0,0,3,0,2
24,44,0,0,1,0,1
25,44,5,0,2,0,3
26,45,2,3,2,1,95
27,45,2,3,2,2,29
28,45,4,2,1,0,635
29,45,6,1,4,2,1
30,45,6,3,3,3,105
31,47,1,0,2,2,12
32,47,3,0,2,1,6
33,47,4,2,1,2,575
34,43,6,1,3,0,21
35,44,5,1,2,1,192
36,45,0,0,2,3,8
37,45,1,0,0,1,10
38,45,4,0,2,0,3
39,46,0,0,0,2,12
40,3,4,2,2,3,1
41,47,3,2,0,0,57
42,44,3,0,0,0,5
43,45,2,1,3,3,13
44,48,4,2,2,0,6
45,46,6,3,0,0,1
46,47,1,3,1,1,4
47,47,5,0,0,3,13
48,0,4,2,2,0,4
49,44,3,1,3,2,6
50,47,0,0,2,0,10
51,47,1,2,2,2,43752
52,47,4,1,1,0,92
53,44,3,2,1,0,551
54,44,4,3,0,1,2
55,44,6,2,3,2,241
56,44,6,0,2,2,10
57,45,0,3,3,3,69
58,45,1,2,3,3,625
59,46,3,3,3,2,64
60,46,6,2,0,2,70
61,47,0,0,2,2,12
62,47,0,1,1,3,132
63,47,3,2,3,0,363
64,44,5,1,3,1,6
65,45,2,1,2,1,236
66,45,6,3,0,0,1
67,46,5,3,2,2,43
68,46,6,2,3,3,681
69,47,6,1,3,1,4
70,43,5,3,2,2,43
71,45,1,0,0,0,9
72,45,1,3,1,3,6
73,47,1,3,0,3,2
74,43,5,1,3,1,3
75,44,0,2,2,1,20274
76,44,1,0,0,1,20
77,45,5,3,0,1,3
78,46,1,1,2,0,19
79,46,1,0,2,2,10
80,46,2,2,3,2,214
81,16,0,2,2,1,1
82,47,1,0,2,0,4
83,47,5,2,2,3,30736
84,44,1,3,3,0,27
85,44,3,3,0,2,2
86,45,1,1,3,1,3
87,45,3,2,0,2,34
88,8,6,2,2,1,2
89,46,1,0,2,1,14
90,46,5,1,3,3,17
91,47,3,2,0,2,66
92,43,5,2,3,0,816
93,44,0,3,2,3,32
94,45,5,2,1,1,301
95,46,0,1,2,3,79
96,46,3,0,0,2,16
97,46,6,2,0,0,113
98,47,1,2,1,0,261
99,47,2,4,4,3,1
100,47,5,0,2,0,7
101,44,1,0,2,0,3
102,44,2,3,3,2,69
103,45,0,0,3,2,2
104,51,4,2,2,3,3
105,47,0,2,0,3,62
106,47,5,3,2,0,13
107,44,3,0,0,1,17
108,45,4,1,2,1,248
109,45,5,2,1,3,2689
110,46,1,4,4,1,1
111,46,2,1,3,3,34
112,46,6,0,0,2,11
113,0,6,2,2,3,1
114,47,0,3,3,2,76
115,47,0,2,3,3,414
116,47,1,3,0,1,3
117,43,5,2,0,1,78
118,43,6,0,0,2,15
119,44,0,1,2,1,66
120,47,3,2,2,0,7187
121,44,3,0,0,3,4
122,44,6,1,3,3,16
123,45,3,2,0,0,55
124,45,5,3,1,3,18
125,46,3,1,2,3,152
